DCODE,DNAME,TEACHER,INST_AID,INST_SUP,GUIDANCE,LIB_SPEC,LIB_SUPP,LEA_ADM,LEA_SUPP,SCH_ADM,SCH_SUPP,STU_SUPP,OTH_SUPP,SE_INSTR,SE_SUBJ,SE_CONS,SE_AID,SE_SUPP,SE_OTH,CT_TEACH,CONS,LEA_DIR,COORD,SUPERVSR,SCH_DIR
82945,Detroit Edison Public School Academy,61,,3.75,,,0.25,3,1,7.7,4,3.5,11.55,3,1,,,,,,,1,,,1
82947,David Ellis Academy,14,6,1,,,,3,,0.05,3.5,2,5.4,1,,0.25,,0.25,,,,,,,1.5
82948,Ross-Hill Academy,8.25,5.6,,,,,1,,1.75,2.4,1.6,1.85,0.6,,,,0.15,,,,,,,
82950,Universal Academy,33.46,9.1,0.84,1,,,5.01,0.08,7.47,2.95,9.48,6.62,0.73,0.27,0.01,,0.91,,,,0.2,,,
82953,Detroit Service Learning Academy,52,4,,,,,1,3,6,6.5,4,17.34,2,,3,3,1,2,,,,,,2
82955,Allen Academy,30.5,13.93,4,,,,0.01,1,1.49,2,4.75,13.69,1,,1.4,1,1.1,,,,,,,
82956,Old Redford Academy,94.5,3,3,1,,,1,5,9,11,17.5,42.5,10,1,,,,,,,,,,
82957,Hope of Detroit Academy,24.54,6.83,2.06,,,,0.01,1.05,2.04,2.1,0.1,5.7,3.31,,,1.88,1.09,1,,,,,,
82958,Joy Preparatory Academy,16,9.69,1,,,,0.01,,1.99,2.92,2,7.79,2,,0.8,0.8,1.1,,,,,,,0.5
82959,West Village Academy,24.5,5,1,,,,1,,2.5,3,0.95,3.5,2,,,,1,,,,,,,1.05
82962,New Beginnings Academy,12,2,,,,,0.49,1,0.01,,3,0.71,,,,,1,,,,0.5,,,
82963,George Washington Carver Academy,19,7,,,,,1,,2,2,2,8.63,1.5,,,,1,1,,,,,,
82967,Metro Charter Academy,33.3,6.88,,,1,,4.02,,,2.39,,5.71,3,,1,0.88,1.5,0.87,,,,,,
82968,Canton Charter Academy,31.27,4.51,,,1,,3.91,,,2.69,,4.88,1.5,,0.7,3.46,1.35,,,,,,,
82969,Creative Montessori Academy,26,26,,,,,0.2,,2,2,,3.5,2,,,,,,,,,,,
82970,Warrendale Charter Academy,37,6.45,,,1,,4.61,,,2.33,,4.66,3,,1,0.88,1.4,,,,,,,
82971,Blanche Kelso Bruce Academy,39,4,,4.3,,,1,0.5,5,6,,5,0.5,2,5.9,,6.4,,,,,,,
82973,Trillium Academy,35,5.5,,1,,,1.51,,3.99,2.5,6.5,1,3,,,,3,1,,,,,,
82974,Detroit Merit Charter Academy,37,7.1,,,,,4.02,,,2.33,,5.79,2.6,0.4,1,0.88,1.7,,,,,,,
82975,Riverside Academy,54,27.3,1.31,,,,0.12,,6,6,2.31,14.59,4,,,,0.4,,,,,,,
82976,Keystone Academy,33.5,4.38,,,1,,5.01,,,2.38,,2.26,2,,1,1.57,1.35,,,,,,,
82977,Hamtramck Academy,27,5.35,,,1,,3.01,,,2.33,,6.5,1,,0.4,,1.5,,,,,,,
82979,Detroit Enterprise Academy,29.5,7,,,1,,5.11,,,3.34,,5.63,2.5,,0.9,0.88,1.2,,,,,,,
82981,American Montessori Academy,22.8,25,1,,,,0.2,,3,5.2,1,5.48,2,,1,,1,,,,,,,
82982,Universal Learning Academy,40.27,9.52,0.97,,,,4.32,0.08,6.33,2.88,10.31,9.09,0.86,,0.25,,0.92,,,,0.2,,,0.5
82983,Bridge Academy,33,20.45,0.5,,,,0.12,,4,4.5,1.25,10.45,2,,,,0.3,,,,,,,
82984,Dr. Charles Drew Academy,22,4,1,,,,1,,1.2,2,,1.5,2,,,,,,,,,,,
82985,Detroit Premier Academy,36.01,13.09,,,,,5.01,,,2.01,,5.38,3,,0.1,1.76,1.3,,,,,,,
82986,Hanley International Academy,30,3,,,,,1.55,,3.4,4,12.75,6.8,3,,2,,,,,,,,,
82987,Frontier International Academy,15,10.6,,,,,0.12,,2,1.75,2.1,7.75,1,,,,0.5,,,,,,,
82991,Covenant House Academy Detroit,20.5,4,,,,,0.33,,3,7.34,10.66,2.33,4,,,,,,,,,,,
82992,Northpointe Academy,19,3,,,,,1,,2,2,1,2.42,2,,,1,,,,,,,,
82994,David Ellis Academy West,29,11.5,3,,,,3,,2.55,3.5,1,8.55,0.7,,1.75,,0.5,,,,,,,0.5
82995,Taylor Exemplar Academy,31.09,9.29,,,1,,4.51,,,2.31,,6.14,2,,0.4,1.76,1.48,,,,,,,
82996,Clara B. Ford Academy (SDA),10.8,3,,1,,,0.2,,1.1,,1,,5.2,,,,1.2,,,,,,,
82997,Flagship Charter Academy,33,5.32,,,2,,4.01,,,2.34,,4.26,2.5,,1,0.69,1.4,,,,,,,
82998,ACE Academy (SDA),11,1,1,,,,1.1,,0.5,2,6,,3,,,1,,,1,,,,,
83000,Wexford-Missaukee ISD,4,15.2,1,2,,,5.8,3,9.01,13.21,,17.48,8,5,24.21,7.51,13.5,24.81,15,,4,,,
83010,Cadillac Area Public Schools,148.95,16.36,5.15,3.8,1,0.5,1,1,10.4,16.5,15.5,61.3,0.45,13.1,,,,,,,,,,2
83060,Manton Consolidated Schools,42.25,7.5,0.5,1,,,2.8,,7,6.6,2.05,24.55,0.7,3.7,,3.5,0.75,,,,,,,1.3
83070,Mesick Consolidated Schools,33,7,,1,,,2.01,,,4.01,2.08,16.05,5,1,,,1,,,,4,,,
84050,Michigan School for the Deaf,2,,,1,,1,,4,2,5.5,4.6,27.5,4,18,,,,2,,,,,,
84060,Education Achievement Authority of Michigan,198,1,23.2,12,2,,7,,32,47,25,374,8,,,,5,,,,4,,,
