DCODE,DNAME,TEACHER,INST_AID,INST_SUP,GUIDANCE,LIB_SPEC,LIB_SUPP,LEA_ADM,LEA_SUPP,SCH_ADM,SCH_SUPP,STU_SUPP,OTH_SUPP,SE_INSTR,SE_SUBJ,SE_CONS,SE_AID,SE_SUPP,SE_OTH,CT_TEACH,CONS,LEA_DIR,COORD,SUPERVSR,SCH_DIR
79150,Vassar Public Schools,62.13,25.84,,1,,,1,1.33,4.67,11.33,0.1,27.62,3.69,4.31,,4.07,0.5,,,,,,,0.83
80000,Van Buren ISD,40.74,47.2,3,3,,,10.18,8.5,22.59,29.9,20.2,113.33,29,11,29.99,79.8,43.25,16.21,25.5,,4,,,
80010,South Haven Public Schools,107.28,15.5,1,2.5,,,6.05,,3.5,13.78,12.06,47.03,14.4,1.4,,15,,2.2,,,,,,0.6
80020,Bangor Public Schools (Van Buren),64.7,20.2,,1,1,1.3,6.7,1.25,6.1,12.8,4.7,32.81,4,,,,0.9,,,,,,,0.2
80040,Covert Public Schools,17,6,1,1,,,4.1,1,3.5,5,5,11.25,3,,,,,,,,,,,
80050,Decatur Public Schools,43.5,5.55,,3,0.1,1,2,,2,6.5,,18.6,5.15,3,,2.5,,2,,,,,,1.25
80090,Bloomingdale Public School District,59.54,8.97,,1,,,1,1,3,7,10.23,41.09,4.6,4.2,,3.8,,,,,,,,
80110,Gobles Public School District,42.65,7,1,2,,,2.7,1,2.3,6,4.25,36.2,1.15,2.35,,2,1,,,,,,,
80120,Hartford Public Schools,61.91,14.33,,2,,4,3.19,,4.8,10.96,6.72,31.4,8,,,4,,2,,,1.25,,,0.5
80130,Lawrence Public Schools,31.96,10,,,,,1,,4.95,6.15,4,21.5,2,2,,4,0.14,,,,0.05,,,
80140,Lawton Community School District,50.71,11.49,1.5,1.9,,,0.9,1,4.5,6.5,8.67,22.07,1.58,2.81,,2,,,,,1.74,,,1.2
80150,Mattawan Consolidated School,164.1,17.13,6.48,5,3.4,,2,1,10.05,23.21,16.84,114.09,7.41,10.83,,18.7,5,,,,4,,,0.95
80160,Paw Paw Public School District,106.48,10.71,1,2,,,1.6,2,6.05,19.4,16.98,59.84,7.06,7.44,,6.77,,5.04,,,1,,,0.75
80240,Bangor Township S/D #8,2,,,,,,1,,0.3,,,,,,,,,,,,,,,
81000,Washtenaw ISD,25,0.2,1,2,,,23.5,9.75,7,18.67,19.35,259.47,34,0.85,33.41,63.53,11.52,3.3,,,8,,,2
