DCODE,DNAME,TEACHER,INST_AID,INST_SUP,GUIDANCE,LIB_SPEC,LIB_SUPP,LEA_ADM,LEA_SUPP,SCH_ADM,SCH_SUPP,STU_SUPP,OTH_SUPP,SE_INSTR,SE_SUBJ,SE_CONS,SE_AID,SE_SUPP,SE_OTH,CT_TEACH,CONS,LEA_DIR,COORD,SUPERVSR,SCH_DIR
09030,Bangor Township Schools,104.17,16,,4,,2,6,1,10,13,4.8,47.9,,14,,16.35,1,1,,,1.6,,,
09050,Essexville-Hampton Public Schools,76.84,12.32,1.17,4,,,2.1,1.25,6.5,11.41,6.3,31.37,1.17,8.99,,13.67,,,,,2.5,,,1
09090,Pinconning Area Schools,64.07,11.1,,2.17,,,2.49,1,4.51,12.09,7.64,42.25,3.66,2.34,,7,1,2.86,,,,,,
09901,Bay-Arenac Community High School,5,,,,,,1,1,1,,2.75,,,,,,,,,,0.85,,,0.15
09902,Bay County PSA,23.5,3,,,,,1,,2,,,5.36,,2,,,,2,,,,,,1.5
09903,Bay City Academy,37.23,2,,,,,1,,2,6,6,2.4,,,1.6,,,1,,,0.5,,,
10015,Benzie County Central Schools,74.94,11.33,,2,,,1.25,,7.5,9.62,2,44.75,8.5,,,8.77,,,,,3,,,
10025,Frankfort-Elberta Area Schools,29.67,5,,,,,0.95,1,2.22,2.31,0.2,12.93,2.67,,,1,,,0.43,,1.02,,,
11000,Berrien RESA,,1,4,,,1,12.5,2,9.41,21.03,6,56.5,52,1,22,57,37.6,12.9,,,5,,,
11010,Benton Harbor Area Schools,121.5,41.5,3,5,,,3,4,20.5,17.75,11.5,115.2,6,22.5,1.75,28,1,,8.5,,1,,,
11020,St. Joseph Public Schools,128.74,10.6,3,5,1,,2,2,7,11.3,12.75,54.24,9,1,3.2,12.5,2,2,2.2,,5.2,,,1
11030,Lakeshore School District (Berrien),126.2,7.98,3,7,0.6,,4,2,8,13.34,16.93,45.75,10.6,4.6,3,14.98,1,,2.6,,2,,,
11033,River Valley School District,39.8,6.4,1.48,2,,1.2,5.2,1,2.8,6.15,,23.92,2.8,2.6,1.6,,,,0.2,,0.5,,,
11160,Galien Township School District,,,,,,,1,,,1,,0.5,,,,,,,,,,,,
